PHA_NAME,MR_INSPECTION_DATE,MR_INSPECTION_COST,SECOND_MR_INSPECTION_DATE,SECOND_MR_INSPECTION_COST,CHANGE_IN_COST,PERCENT_CHANGE_IN_COST
ALLEGHENY COUNTY HOUSING AUTHORI,2015-02-02,37108,2015-02-02,36454.0,654.0,1.79
ANNISTON HA,2014-12-30,31506,2014-08-21,10785.0,20721.0,192.13
ASHTABULA METROPOLITAN HOUSING A,2014-06-03,37948,2014-04-24,13920.0,24028.0,172.61
Akron Metropolitan Housing Autho,2014-10-09,25593,2014-10-08,15626.0,9967.0,63.78
Alachua County,2015-01-22,37345,2014-05-01,17019.0,20326.0,119.43
Alaska Housing Finance Corporati,2014-11-14,26342,2014-11-13,21366.0,4976.0,23.29
Albany Housing Authority,2015-01-12,31115,2015-01-09,30247.0,868.0,2.87
Alexander County Housing Authori,2014-12-03,10951,2014-04-23,10132.0,819.0,8.08
Alexandria Redevelopment & Housi,2014-05-09,29123,2014-04-18,14767.0,14356.0,97.22
Allentown Housing Authority,2014-11-18,28413,2014-11-14,18989.0,9424.0,49.63
Asbury Park Housing Authority,2014-06-20,18685,2014-05-21,14987.0,3698.0,24.67
Ashland Housing Authority,2014-04-29,29106,2014-04-29,17510.0,11596.0,66.23
Athens Metropolitan Housing Auth,2014-05-22,21816,2014-05-21,10996.0,10820.0,98.4
Aurora Housing Authority,2015-02-02,14683,2014-06-24,12831.0,1852.0,14.43
Aurora Housing Authority ofthe C,2014-07-03,14908,2013-06-11,14570.0,338.0,2.32
Austin Housing Authority,2014-06-30,36672,2014-06-26,25920.0,10752.0,41.48
BLUE EARTH COUNTY EDA,2015-01-15,37189,2015-01-14,18784.0,18405.0,97.98
BOAZ HOUSING AUTHORITY,2014-04-07,22334,2014-04-03,12740.0,9594.0,75.31
BROWARD COUNTY HOUSING AUTHORITY,2014-12-04,31167,2014-10-15,23851.0,7316.0,30.67
BUTLER METROPOLITAN HOUSING AUTH,2014-08-26,29140,2013-09-16,27403.0,1737.0,6.34
Barre Housing Authority,2014-06-18,19254,2014-06-16,16757.0,2497.0,14.9
Batavia Housing Authority,2015-01-28,26365,2014-12-30,14576.0,11789.0,80.88
Battle Creek Housing Commission,2015-01-29,34258,2015-01-27,15344.0,18914.0,123.27
Bay City Housing Commission,2014-11-13,32003,2014-01-28,16470.0,15533.0,94.31
Bayonne Housing Authority,2014-09-12,26407,2014-09-11,16280.0,10127.0,62.21
Beloit Housing Authority,2014-04-30,35276,2013-05-14,14461.0,20815.0,143.94
Bergen County Housing Authority,2014-06-30,20972,2014-05-28,12018.0,8954.0,74.5
Binghamton Housing Authority,2014-10-06,29731,2014-10-06,25016.0,4715.0,18.85
Bloomfield Housing Authority,2015-01-27,39447,2014-04-21,30705.0,8742.0,28.47
Boston Housing Authority,2014-10-14,29225,2014-08-07,12044.0,17181.0,142.65
Boulder Housing Partners,2014-05-08,19869,2014-05-07,19550.0,319.0,1.63
Bradford County Housing Authorit,2014-10-29,19262,2014-10-28,10512.0,8750.0,83.24
Bristol Housing Authority,2014-10-07,39542,2014-09-26,27324.0,12218.0,44.72
Bristol Redevelopment & Housing,2014-07-09,16181,2014-07-03,12899.0,3282.0,25.44
Brockton Housing Authority,2014-05-20,36225,2014-05-08,35206.0,1019.0,2.89
Brownsville Housing Authority,2014-12-08,35468,2014-12-08,29737.0,5731.0,19.27
Buffalo Municipal Housing Author,2015-01-20,21638,2014-11-17,10035.0,11603.0,115.63
Bureau County Housing Authority,2014-08-21,37026,2014-06-09,16452.0,20574.0,125.05
Burleigh County Housing Authorit,2014-05-01,11930,2014-04-29,10301.0,1629.0,15.81
CHARLESTON CO HSG & REDEV AUTH,2014-10-14,22272,2013-08-06,14669.0,7603.0,51.83
CINCINNATI METROPOLITAN HOUSING,2014-12-02,26027,2014-12-01,21385.0,4642.0,21.71
CITY OF RENO HOUSING AUTHORITY,2014-10-07,28611,2014-10-07,17615.0,10996.0,62.42
COUNTY OF MERCED HOUSING AUTHORI,2014-12-15,30705,2014-11-17,11265.0,19440.0,172.57
COUNTY OF MONTEREY HSG AUTH,2014-09-05,37768,2014-08-27,28921.0,8847.0,30.59
Cambridge Housing Authority,2014-07-30,34753,2014-07-29,21137.0,13616.0,64.42
Central Falls Housing Authority,2015-01-15,35783,2014-12-29,14766.0,21017.0,142.33
Charleston/Kanawha Housing Autho,2014-06-12,33663,2014-06-11,33298.0,365.0,1.1
Charlottesville Redev & Housing,2014-07-11,17298,2013-07-19,16235.0,1063.0,6.55
Chesapeake Redevelopment & Housi,2014-04-16,16141,2013-03-14,15231.0,910.0,5.97
Chicago Housing Authority,2015-01-30,26460,2015-01-21,16612.0,9848.0,59.28
Chillicothe Metropolitan Housing,2014-05-27,35637,2014-05-27,24604.0,11033.0,44.84
City of Albuquerque Housing Auth,2015-01-30,22525,2014-04-24,11655.0,10870.0,93.26
City of Phoenix Housing Departme,2014-10-06,24881,2014-09-30,16317.0,8564.0,52.49
City of Richmond Housing Authori,2014-10-09,26020,2014-10-03,21552.0,4468.0,20.73
Columbus Housing Authority,2015-01-29,36252,2014-12-19,17555.0,18697.0,106.51
Columbus Metropolitan Housing Au,2015-02-02,28892,2014-04-30,10405.0,18487.0,177.67
Concord Housing Authority,2014-12-15,24019,2014-10-07,14915.0,9104.0,61.04
